TEAM_ID,ABBREVIATION,NICKNAME,CITY,ARENA,HEADCOACH
1610612737,ATL,Hawks,Atlanta,State Farm Arena,Lloyd Pierce
1610612738,BOS,Celtics,Boston,TD Garden,Brad Stevens
1610612740,NOP,Pelicans,New Orleans,Smoothie King Center,Alvin Gentry
1610612741,CHI,Bulls,Chicago,United Center,Jim Boylen
1610612742,DAL,Mavericks,Dallas,American Airlines Center,Rick Carlisle
1610612743,DEN,Nuggets,Denver,Pepsi Center,Michael Malone
1610612745,HOU,Rockets,Houston,Toyota Center,Mike D'Antoni
1610612746,LAC,Clippers,Los Angeles,Staples Center,Doc Rivers
1610612747,LAL,Lakers,Los Angeles,Staples Center,Frank Vogel
1610612748,MIA,Heat,Miami,AmericanAirlines Arena,Erik Spoelstra
1610612749,MIL,Bucks,Milwaukee,Fiserv Forum,Mike Budenholzer
1610612750,MIN,Timberwolves,Minnesota,Target Center,Ryan Saunders
1610612751,BKN,Nets,Brooklyn,Barclays Center,Kenny Atkinson
1610612752,NYK,Knicks,New York,Madison Square Garden,David Fizdale
1610612753,ORL,Magic,Orlando,Amway Center,Steve Clifford
1610612754,IND,Pacers,Indiana,Bankers Life Fieldhouse,Nate McMillan
1610612755,PHI,76ers,Philadelphia,Wells Fargo Center,Brett Brown
1610612756,PHX,Suns,Phoenix,Talking Stick Resort Arena,Monty Williams
1610612757,POR,Trail Blazers,Portland,Moda Center,Terry Stotts
1610612758,SAC,Kings,Sacramento,Golden 1 Center,Luke Walton
1610612759,SAS,Spurs,San Antonio,AT&T Center,Gregg Popovich
1610612760,OKC,Thunder,Oklahoma City,Chesapeake Energy Arena,Billy Donovan
1610612761,TOR,Raptors,Toronto,Scotiabank Arena,Nick Nurse
1610612762,UTA,Jazz,Utah,Vivint Smart Home Arena,Quin Snyder
1610612763,MEM,Grizzlies,Memphis,FedExForum,Taylor Jenkins
1610612764,WAS,Wizards,Washington,Capital One Arena,Scott Brooks
1610612765,DET,Pistons,Detroit,Little Caesars Arena,Dwane Casey
1610612766,CHA,Hornets,Charlotte,Spectrum Center,James Borrego
1610612739,CLE,Cavaliers,Cleveland,Quicken Loans Arena,John Beilein
1610612744,GSW,Warriors,Golden State,Chase Center,Steve Kerr
