,Visitor,Home,R-Coefficient,Home_Score,Visitor_Score,Prediction,Winner,Logic,Historical Home Win Record
0,ATL,ORL,0.7462663624273633,94.42857142857143,96.61904761904762,ATL,ATL,1,0.6363636363636364
1,MIL,CHI,0.561563103535078,97.78571428571429,99.02380952380952,CHI,MIL,0,0.45454545454545453
2,DET,UTA,0.5985460975487444,93.55555555555556,96.33333333333333,UTA,UTA,1,0.4
3,MIA,WAS,0.567567595685702,102.5,95.58333333333333,MIA,WAS,0,0.8888888888888888
4,BKN,MIN,0.6400625780649636,99.52941176470588,98.17647058823529,BKN,MIN,0,0.6
5,PHX,POR,0.6088203882221844,106.02777777777777,100.88888888888889,PHX,PHX,1,0.6666666666666666
6,BOS,CHA,0.5002514906378319,101.54838709677419,93.6774193548387,BOS,BOS,1,0.875
7,LAC,SAC,0.6580583243187608,104.63888888888889,98.75,SAC,LAC,0,0.4444444444444444
8,DEN,HOU,0.7310232113927926,106.58620689655173,104.58620689655173,HOU,HOU,1,0.5
9,DAL,OKC,0.5983276926314953,105.525,102.525,DAL,OKC,0,0.6
10,PHI,IND,0.592395011165324,96.86666666666666,99.7,IND,IND,1,0.25
11,CLE,TOR,0.6498802663441954,104.5,99.675,CLE,TOR,0,0.7
12,GSW,SAS,0.6553096098300064,104.83783783783784,104.67567567567568,SAS,SAS,1,0.5
13,ORL,WAS,0.6029108411908735,99.87878787878788,95.18181818181819,ORL,ORL,1,0.5555555555555556
14,MIN,MIL,0.7536410525741548,100.4074074074074,98.88888888888889,MIN,MIL,0,0.5714285714285714
15,POR,NYK,0.6566681284429332,101.6,93.33333333333333,POR,NYK,0,0.75
16,PHX,LAL,0.6793622223929057,110.02325581395348,103.5813953488372,PHX,LAL,0,0.6363636363636364
17,CHA,CLE,0.7255151488659788,99.55172413793103,99.44827586206897,CLE,CHA,0,0.5
18,TOR,MIA,0.7023088246018243,99.875,97.0,MIA,MIA,1,0.5
19,GSW,MIN,0.6373147098802902,110.83870967741936,102.41935483870968,GSW,MIN,0,0.875
20,OKC,SAS,0.6639920150550436,99.46341463414635,98.73170731707317,OKC,OKC,1,0.5454545454545454
21,DET,LAC,0.8468045393356243,98.2,96.73333333333333,LAC,LAC,1,0.5
22,DEN,IND,0.4338890216165481,111.66666666666667,101.72222222222223,DEN,DEN,1,1.0
23,UTA,CHI,0.6240814359453857,96.66666666666667,93.26666666666667,CHI,UTA,0,0.5
24,BKN,DAL,0.7045178861910333,100.53333333333333,98.86666666666666,DAL,DAL,1,0.25
25,TOR,SAC,0.7759296765319922,105.83333333333333,100.27777777777777,TOR,SAC,0,0.8
26,MIA,ORL,0.644074010707977,101.97435897435898,97.7948717948718,MIA,ORL,0,0.6
27,ATL,BOS,0.6274406232950077,98.61538461538461,96.7948717948718,ATL,BOS,0,0.6
28,NYK,PHX,0.7046991792063761,109.9375,109.125,PHX,PHX,1,0.5
29,POR,WAS,0.5297358281498254,103.1875,99.375,POR,POR,1,0.75
30,PHI,HOU,0.5437900199268202,98.75,102.8125,HOU,HOU,1,0.5
31,NOP,LAL,0.7193076827505317,101.65625,103.1875,LAL,LAL,1,0.5
32,MEM,LAC,0.7098742016239354,98.27027027027027,96.43243243243244,MEM,MEM,1,0.6
33,UTA,ORL,0.7411483781935296,99.9375,97.375,UTA,UTA,1,0.75
34,IND,ATL,0.7274007353451994,101.89473684210526,95.0,IND,ATL,0,0.8
35,BOS,CHI,0.6478401754598727,100.94444444444444,96.94444444444444,BOS,BOS,1,0.5555555555555556
36,TOR,BKN,0.5420417769772372,103.83333333333333,97.76190476190476,TOR,TOR,1,0.8181818181818182
37,OKC,CLE,0.7675734372554857,101.8125,100.1875,CLE,OKC,0,0.5
38,DEN,WAS,0.7070465697766459,109.70588235294117,102.82352941176471,DEN,WAS,0,0.6
39,SAS,MIL,0.49319637676736816,102.06666666666666,93.2,SAS,MIL,0,0.75
40,NOP,SAC,0.681470806223385,103.53333333333333,99.53333333333333,NOP,NOP,1,0.625
